text,card_number,date,full_name,amount,merchant
"On 2018-09-22, Lance Hoffman paid $643.03 using card number 4043321819600132 at Miles, Barnes and Cole.",4043321819600132,2018-09-22,Lance Hoffman,643.03,"Miles, Barnes and Cole"
"On 2007-07-27, Valerie Gray paid $34.76 using card number 4265423511615594074 at Calderon-Montgomery.",4265423511615594074,2007-07-27,Valerie Gray,34.76,Calderon-Montgomery
"On 2016-07-07, Daniel Adams paid $282.28 using card number 341034131647528 at Jones, Reid and Ferguson.",341034131647528,2016-07-07,Daniel Adams,282.28,"Jones, Reid and Ferguson"
"On 2018-11-08, Daniel Hahn paid $230.98 using card number 4764835030567 at Lewis-Porter.",4764835030567,2018-11-08,Daniel Hahn,230.98,Lewis-Porter
"On 1977-06-18, Ann Williams paid $739.11 using card number 4242388496965327 at Burton Ltd.",4242388496965327,1977-06-18,Ann Williams,739.11,Burton Ltd
"On 1980-10-06, Gina Carter paid $679.93 using card number 6011669784801843 at Smith-Bowen.",6011669784801843,1980-10-06,Gina Carter,679.93,Smith-Bowen
"On 1977-08-12, Linda Burns paid $893.26 using card number 3582814893252886 at Koch-Decker.",3582814893252886,1977-08-12,Linda Burns,893.26,Koch-Decker
"On 2016-12-11, Tanya Campos paid $96.07 using card number 4039117182278248968 at Marquez Group.",4039117182278248968,2016-12-11,Tanya Campos,96.07,Marquez Group
"On 1974-08-03, Michael Brown paid $427.7 using card number 4787133150983930 at Heath Inc.",4787133150983930,1974-08-03,Michael Brown,427.7,Heath Inc
"On 1999-05-02, Cheryl Davis paid $39.5 using card number 213147382997379 at Henderson-Owens.",213147382997379,1999-05-02,Cheryl Davis,39.5,Henderson-Owens
"On 2000-02-27, David Leblanc paid $226.45 using card number 3510651333872627 at Garcia, Pearson and Fernandez.",3510651333872627,2000-02-27,David Leblanc,226.45,"Garcia, Pearson and Fernandez"
"On 1996-07-26, Carmen Smith paid $510.3 using card number 502032677366 at House-Glover.",502032677366,1996-07-26,Carmen Smith,510.3,House-Glover
"On 1982-08-24, Tyler Miller paid $36.27 using card number 4872343098050097888 at Larson Ltd.",4872343098050097888,1982-08-24,Tyler Miller,36.27,Larson Ltd
"On 2018-09-27, Taylor Harris paid $206.85 using card number 4193990916990 at Allen-Foster.",4193990916990,2018-09-27,Taylor Harris,206.85,Allen-Foster
"On 1995-02-23, Shirley Suarez paid $653.39 using card number 4751079911838420 at Moore-Bass.",4751079911838420,1995-02-23,Shirley Suarez,653.39,Moore-Bass
"On 2016-10-13, Daniel Cooper paid $549.49 using card number 3598084124118247 at Farrell, Wagner and King.",3598084124118247,2016-10-13,Daniel Cooper,549.49,"Farrell, Wagner and King"
"On 2008-03-03, Jeremy Thornton paid $228.24 using card number 502064005247 at Rodriguez Ltd.",502064005247,2008-03-03,Jeremy Thornton,228.24,Rodriguez Ltd
"On 2012-03-27, Justin Baxter paid $593.37 using card number 4598262045053317 at Moore, Spears and Hancock.",4598262045053317,2012-03-27,Justin Baxter,593.37,"Moore, Spears and Hancock"
"On 1985-03-03, Robert Savage paid $811.34 using card number 4025634216073378 at Keller Group.",4025634216073378,1985-03-03,Robert Savage,811.34,Keller Group
"On 1999-07-29, Deborah Rodriguez paid $16.43 using card number 371458685014293 at Chandler-Edwards.",371458685014293,1999-07-29,Deborah Rodriguez,16.43,Chandler-Edwards
"On 2015-02-22, Tammie Hanson paid $807.76 using card number 3569340608835614 at Cortez LLC.",3569340608835614,2015-02-22,Tammie Hanson,807.76,Cortez LLC
"On 1970-01-11, Elizabeth Kelley paid $701.16 using card number 180065648236623 at Mitchell-Jordan.",180065648236623,1970-01-11,Elizabeth Kelley,701.16,Mitchell-Jordan
"On 1985-04-15, Nicole Chambers paid $346.85 using card number 3577738721489518 at Hernandez Inc.",3577738721489518,1985-04-15,Nicole Chambers,346.85,Hernandez Inc
"On 2022-05-27, Abigail Potter paid $163.92 using card number 4917693676323 at Osborne and Sons.",4917693676323,2022-05-27,Abigail Potter,163.92,Osborne and Sons
"On 1980-10-30, Terry Griffin paid $957.64 using card number 4083172788957982 at Hensley, Cole and Walton.",4083172788957982,1980-10-30,Terry Griffin,957.64,"Hensley, Cole and Walton"
"On 1984-07-23, James Hernandez paid $343.23 using card number 4873471434558127 at Perry LLC.",4873471434558127,1984-07-23,James Hernandez,343.23,Perry LLC
"On 1998-07-07, Guy Molina paid $101.82 using card number 180060366909675 at Adkins, Payne and Morrison.",180060366909675,1998-07-07,Guy Molina,101.82,"Adkins, Payne and Morrison"
"On 2015-02-12, Ms. Susan Vargas paid $105.75 using card number 4346706562728 at Miller Group.",4346706562728,2015-02-12,Ms. Susan Vargas,105.75,Miller Group
"On 1993-10-25, Paul Williams paid $849.02 using card number 4204653755646413 at Santos Ltd.",4204653755646413,1993-10-25,Paul Williams,849.02,Santos Ltd
"On 1984-10-31, Michael Elliott paid $607.69 using card number 639003309239 at Lyons-Wang.",639003309239,1984-10-31,Michael Elliott,607.69,Lyons-Wang
"On 2024-10-25, Elizabeth Sutton paid $809.06 using card number 4241904966319315 at Hogan PLC.",4241904966319315,2024-10-25,Elizabeth Sutton,809.06,Hogan PLC
"On 2001-04-14, Tyler Reid paid $732.43 using card number 588651850673 at Hernandez, Thompson and Boyd.",588651850673,2001-04-14,Tyler Reid,732.43,"Hernandez, Thompson and Boyd"
"On 2003-08-22, Mary Rogers paid $540.87 using card number 4987769453147372 at White-Lewis.",4987769453147372,2003-08-22,Mary Rogers,540.87,White-Lewis
"On 1990-11-02, Daniel Holt paid $973.38 using card number 4494808313678377708 at Perkins, Kennedy and Schmidt.",4494808313678377708,1990-11-02,Daniel Holt,973.38,"Perkins, Kennedy and Schmidt"
"On 2021-09-25, John Hardy paid $384.75 using card number 6557444313518239 at Carlson, Hooper and Wall.",6557444313518239,2021-09-25,John Hardy,384.75,"Carlson, Hooper and Wall"
"On 1973-06-30, Jeremiah Lopez paid $556.52 using card number 4524082400842710947 at Everett-Woods.",4524082400842710947,1973-06-30,Jeremiah Lopez,556.52,Everett-Woods
"On 1985-05-11, Lisa Gibbs paid $831.11 using card number 2297190229413189 at James, Kerr and Evans.",2297190229413189,1985-05-11,Lisa Gibbs,831.11,"James, Kerr and Evans"
"On 2016-11-29, Brooke Ortiz paid $622.33 using card number 3549909133412324 at Harrison, Johnson and Roberts.",3549909133412324,2016-11-29,Brooke Ortiz,622.33,"Harrison, Johnson and Roberts"
"On 1978-06-18, Laura Roberts paid $863.09 using card number 4134936183242102495 at Barker-Lyons.",4134936183242102495,1978-06-18,Laura Roberts,863.09,Barker-Lyons
"On 2000-02-04, Casey Stone paid $581.58 using card number 4719065940139904908 at White-Richards.",4719065940139904908,2000-02-04,Casey Stone,581.58,White-Richards
"On 1977-11-21, Brandon King paid $707.53 using card number 4175655125674681 at Hancock-Bryan.",4175655125674681,1977-11-21,Brandon King,707.53,Hancock-Bryan
"On 1973-07-06, Kathleen Ramos paid $55.37 using card number 676387603852 at Adams and Sons.",676387603852,1973-07-06,Kathleen Ramos,55.37,Adams and Sons
"On 2002-02-19, Dr. Jordan Hill PhD paid $235.62 using card number 4710932480861317128 at Bryant and Sons.",4710932480861317128,2002-02-19,Dr. Jordan Hill PhD,235.62,Bryant and Sons
"On 2014-11-28, Sara Carpenter paid $296.49 using card number 6011982146584043 at Grimes-Griffin.",6011982146584043,2014-11-28,Sara Carpenter,296.49,Grimes-Griffin
"On 2020-09-04, Reginald Williams paid $88.99 using card number 30558867533961 at Thornton-Shepherd.",30558867533961,2020-09-04,Reginald Williams,88.99,Thornton-Shepherd
"On 1980-07-03, Charles Pitts paid $240.46 using card number 6011702895171879 at Harrison LLC.",6011702895171879,1980-07-03,Charles Pitts,240.46,Harrison LLC
"On 2013-02-15, Nicole Hamilton MD paid $109.99 using card number 371586578091349 at Brennan, Wallace and Benson.",371586578091349,2013-02-15,Nicole Hamilton MD,109.99,"Brennan, Wallace and Benson"
"On 1982-04-03, Jason Maldonado paid $285.19 using card number 501850455624 at Thompson PLC.",501850455624,1982-04-03,Jason Maldonado,285.19,Thompson PLC
"On 1993-07-08, Brooke Alexander paid $639.33 using card number 6011792374740740 at Evans, Hayden and Vaughn.",6011792374740740,1993-07-08,Brooke Alexander,639.33,"Evans, Hayden and Vaughn"
"On 1988-09-05, Elizabeth Spence DDS paid $371.18 using card number 30436713695948 at Knight Ltd.",30436713695948,1988-09-05,Elizabeth Spence DDS,371.18,Knight Ltd
"On 2019-11-02, Jeremiah Riley paid $376.48 using card number 3597439533942101 at Davis LLC.",3597439533942101,2019-11-02,Jeremiah Riley,376.48,Davis LLC
"On 1975-02-15, Gina Wilson paid $217.41 using card number 372328588424742 at Webster and Sons.",372328588424742,1975-02-15,Gina Wilson,217.41,Webster and Sons
"On 2008-03-15, David Johnson paid $274.31 using card number 4851604817549653 at Herman-Walker.",4851604817549653,2008-03-15,David Johnson,274.31,Herman-Walker
"On 2017-05-25, Jacob Avery paid $937.29 using card number 2446120047113828 at Barnes, Newton and Moore.",2446120047113828,2017-05-25,Jacob Avery,937.29,"Barnes, Newton and Moore"
"On 2013-11-18, Michael Stephens paid $651.56 using card number 6011796405377356 at Brown-Hill.",6011796405377356,2013-11-18,Michael Stephens,651.56,Brown-Hill
"On 2022-09-12, Robin Hall paid $613.04 using card number 2413900532931837 at Kramer PLC.",2413900532931837,2022-09-12,Robin Hall,613.04,Kramer PLC
"On 1971-01-28, Richard Chapman paid $179.43 using card number 572284210208 at Baker and Sons.",572284210208,1971-01-28,Richard Chapman,179.43,Baker and Sons
"On 2005-06-26, Richard Camacho paid $731.84 using card number 3581177589178398 at Ellis-Maynard.",3581177589178398,2005-06-26,Richard Camacho,731.84,Ellis-Maynard
"On 2012-06-26, Charles Martinez paid $171.77 using card number 675966177114 at Richards, Joseph and James.",675966177114,2012-06-26,Charles Martinez,171.77,"Richards, Joseph and James"
"On 1991-04-09, Jennifer Blair paid $385.66 using card number 3578961183673655 at Edwards-Scott.",3578961183673655,1991-04-09,Jennifer Blair,385.66,Edwards-Scott
"On 2021-01-21, Jennifer Russo paid $989.63 using card number 4111161528098856 at Parrish-Griffith.",4111161528098856,2021-01-21,Jennifer Russo,989.63,Parrish-Griffith
